Average Zeroed Cap@174kHz,Average Zeroed Cap@224kHz,Average Zeroed Cap@287kHz,Average Zeroed Cap@368kHz,Average Zeroed Cap@473kHz,Average Zeroed Cap@607kHz,Average Zeroed Cap@779kHz,Average Zeroed Cap@1000kHz,Average Zeroed Cap@1284kHz,Average Zeroed Cap@1648kHz,Average Zeroed Cap@2115kHz,Group,Day,,,,,,,,,,,
2.187,2.129,1.606,1.461,1.304,1.136,1.032,0.898,0.803,0.857,0.787,4,1,,,,,,,,,,,
2.214,2.066,1.742,1.396,1.297,1.123,1.026,0.889,0.825,0.821,0.687,4,1,,,,,,,,,,,
2.36,2.12,1.557,1.42,1.218,1.117,1.007,0.863,0.861,0.811,0.768,4,1,,,,,,,,,,,
2.329,2.415,1.605,1.417,1.311,1.128,0.927,0.875,0.792,0.781,0.794,4,1,,,,,,,,,,,
2.379,2.199,1.664,1.301,1.154,1.138,0.948,0.822,0.815,0.731,0.641,4,1,,,,,,,,,,,
2.314,2.159,1.678,1.415,1.263,1.071,0.97,0.916,0.805,0.731,0.691,4,1,,,,,,,,,,,
2.3,2.168,1.724,1.429,1.26,1.006,0.964,0.823,0.839,0.717,0.649,4,1,,,,,,,,,,,
2.172,2.224,1.766,1.484,1.177,1.045,0.988,0.848,0.826,0.782,0.698,4,1,,,,,,,,,,,
2.452,2.179,1.574,1.41,1.215,1.108,1.057,0.863,0.848,0.795,0.695,4,1,,,,,,,,,,,
2.103,2.326,1.554,1.437,1.306,1.081,0.994,0.836,0.861,0.771,0.683,4,1,,,,,,,,,,,
2.354,2.166,1.747,1.361,1.108,1.088,1.008,0.879,0.78,0.789,0.664,4,1,,,,,,,,,,,
2.428,2.268,1.764,1.366,1.284,1.031,0.959,0.869,0.895,0.774,0.713,4,1,,,,,,,,,,,
2.164,2.141,1.834,1.286,1.21,1.044,0.888,0.876,0.924,0.705,0.684,4,1,,,,,,,,,,,
2.413,2.046,1.557,1.315,1.173,1.095,0.969,0.794,0.879,0.747,0.673,4,1,,,,,,,,,,,
2.272,2.31,1.751,1.554,1.22,0.996,0.941,0.846,0.83,0.636,0.728,4,1,,,,,,,,,,,
2.265,2.068,1.597,1.354,1.187,1.047,0.985,0.866,0.862,0.734,0.703,4,1,,,,,,,,,,,
