Index,Events,Average Zeroed Cap@174kHz,Average Zeroed Cap@224kHz,Average Zeroed Cap@287kHz,Average Zeroed Cap@368kHz,Average Zeroed Cap@473kHz,Average Zeroed Cap@607kHz,Average Zeroed Cap@779kHz,Average Zeroed Cap@1000kHz,Average Zeroed Cap@1284kHz,Average Zeroed Cap@1648kHz,Average Zeroed Cap@2115kHz,Cell Type,Time Period,Cell Type.V1
104,0,5.774,5.084,4.214,3.771,3.114,2.504,2.098,1.781,1.445,1.226,1.067,hasc,96,3
105,0,5.686,4.956,4.206,3.643,3.028,2.518,2.141,1.777,1.449,1.221,1.021,hasc,96,3
106,0,5.696,5.094,4.217,3.708,3.146,2.582,2.158,1.759,1.446,1.236,1.03,hasc,96,3
107,0,5.621,5.08,4.137,3.686,3.333,2.513,2.108,1.857,1.473,1.257,1.005,hasc,96,3
113,Feed,4.799,4.131,3.258,2.833,2.205,1.688,1.364,1.16,0.878,0.697,0.505,hasc,96,3
114,0,4.851,4.317,3.356,2.898,2.201,1.701,1.294,1.127,0.887,0.748,0.548,hasc,96,3
115,0,4.923,4.071,3.135,2.768,2.377,1.701,1.29,1.138,0.882,0.714,0.486,hasc,96,3
116,0,4.947,4.221,3.251,2.73,2.314,1.654,1.343,1.082,0.834,0.7,0.518,hasc,96,3
117,0,4.89,4.081,3.212,2.79,2.388,1.721,1.309,1.127,0.827,0.705,0.52,hasc,96,3
122,Feed,5.396,4.743,3.992,3.596,3.02,2.705,2.304,2.188,1.865,1.816,1.584,hasc,96,3
123,0,5.62,4.879,3.899,3.414,3.047,2.611,2.312,2.139,1.893,1.804,1.606,hasc,96,3
124,0,5.498,4.947,4.015,3.545,3.142,2.72,2.465,2.254,1.952,1.889,1.664,hasc,96,3
125,0,5.407,4.993,3.995,3.701,3.023,2.665,2.374,2.16,1.971,1.854,1.711,hasc,96,3
126,0,5.348,4.719,4.027,3.549,3.214,2.709,2.4,2.256,1.944,1.927,1.727,hasc,96,3
78,Feed,4.122,3.57,3.214,2.794,2.498,2.405,2.208,2.14,1.976,1.75,1.839,mg63,24,4
79,0,4.035,3.548,3.175,2.614,2.272,2.355,2.186,2.023,1.833,1.711,1.686,mg63,24,4
80,0,4.005,3.549,3.058,2.329,2.197,2.197,2.137,1.978,1.794,1.662,1.677,mg63,24,4
81,0,4.025,3.454,3.205,2.309,2.309,2.212,2.088,1.887,1.725,1.572,1.57,mg63,24,4
82,0,3.662,3.49,2.969,2.361,2.148,2.143,1.989,1.871,1.647,1.515,1.523,mg63,24,4
86,Feed,4.024,3.509,3.281,2.783,2.316,2.47,2.322,2.217,2.061,1.884,1.932,mg63,24,4
87,0,4.148,3.713,3.267,2.936,2.498,2.547,2.333,2.224,2.039,1.967,1.953,mg63,24,4
88,0,4.017,3.575,3.32,2.977,2.507,2.502,2.397,2.269,2.059,1.991,1.917,mg63,24,4
89,0,4.013,3.724,3.216,3.027,2.554,2.527,2.442,2.284,2.141,1.974,1.965,mg63,24,4
90,0,4.02,3.674,3.053,3.036,2.565,2.573,2.458,2.284,2.16,1.986,2.002,mg63,24,4
118,Feed,1.365,1.04,0.504,0.691,0.268,0.06,-0.11,-0.272,-0.303,-0.446,-0.487,mg63,24,4
119,0,1.403,1.07,0.671,0.538,0.376,-0.036,-0.173,-0.195,-0.339,-0.492,-0.408,mg63,24,4
120,0,1.524,0.957,0.417,0.475,0.2,0.066,-0.17,-0.267,-0.316,-0.44,-0.409,mg63,24,4
121,0,1.48,1.099,0.54,0.615,-0.048,-0.029,-0.141,-0.226,-0.36,-0.442,-0.479,mg63,24,4
122,0,1.617,1.16,0.69,0.366,0.226,0.058,-0.175,-0.213,-0.315,-0.406,-0.388,mg63,24,4
124,Feed,2.825,2.078,1.608,1.586,1.261,0.995,0.705,0.704,0.479,0.413,0.389,mg63,24,4
125,0,2.655,2.417,1.702,1.58,1.249,0.968,0.882,0.572,0.518,0.419,0.394,mg63,24,4
126,0,2.629,2.178,1.555,1.561,1.306,0.979,0.727,0.611,0.498,0.413,0.377,mg63,24,4
127,0,2.874,2.173,1.541,1.45,1.362,1.025,0.75,0.647,0.533,0.445,0.446,mg63,24,4
128,0,2.968,2.297,1.642,1.572,1.294,0.994,0.77,0.595,0.516,0.445,0.383,mg63,24,4
82,Feed,4.75,4.282,4.002,3.502,3.034,2.85,2.623,2.439,2.293,2.199,2.119,mg63,48,4
83,0,4.806,4.334,3.782,3.515,2.813,2.852,2.625,2.37,2.327,2.215,2.178,mg63,48,4
84,0,4.758,4.318,3.89,3.599,2.88,2.881,2.63,2.397,2.22,2.182,2.119,mg63,48,4
85,0,4.796,4.117,3.882,3.49,2.799,2.786,2.645,2.333,2.335,2.193,2.043,mg63,48,4
86,0,4.84,4.199,3.704,3.475,2.938,2.771,2.628,2.43,2.276,2.197,2.081,mg63,48,4
114,Feed,3.472,2.889,2.758,2.206,2.012,1.796,1.611,1.432,1.356,1.28,1.196,mg63,48,4
115,0,3.483,2.88,2.624,2.161,1.957,1.742,1.576,1.464,1.41,1.327,1.142,mg63,48,4
116,0,3.442,2.944,2.707,2.111,2.036,1.823,1.495,1.436,1.322,1.28,1.201,mg63,48,4
117,0,3.355,2.915,2.698,2.067,1.733,1.772,1.547,1.376,1.394,1.327,1.149,mg63,48,4
118,0,3.513,3.063,2.604,2.141,1.987,1.757,1.536,1.498,1.383,1.313,1.174,mg63,48,4
121,Feed,2.915,2.322,1.959,1.474,1.131,1.137,0.955,0.849,0.776,0.68,0.521,mg63,48,4
122,0,3.006,2.342,2.169,1.656,1.355,1.211,0.995,0.858,0.818,0.709,0.553,mg63,48,4
123,0,2.988,2.402,2.175,1.684,1.188,1.126,1.042,0.814,0.81,0.692,0.598,mg63,48,4
