AREA,PERIMETER,CELL_ID,Lon,Lat,cdirjan,cdirfeb,cdirmar,cdirapr,cdirmay,cdirjun,cdirjul,cdiraug,cdirsep,cdiroct,cdirnov,cdirdec,cdirann
0.109,1.320,279091,92.25800000000,22.43000000000,6511,5772,4963,4221,4220,1685,1299,1960,1917,5024,5298,6486,4113
0.109,1.320,291093,88.08500000000,22.40500000000,4230,3841,4104,3972,3137,2009,1258,2069,2182,4731,4148,4443,3343
0.109,1.320,286092,89.83300000000,22.39700000000,4857,4425,4558,4041,3283,1355,828,1449,1856,4791,4722,5526,3474
0.109,1.319,280091,91.91800000000,22.38600000000,6129,5321,4403,3689,3784,1513,1221,1682,1957,4585,5208,6408,3825
0.108,1.319,287092,89.49600000000,22.34100000000,4765,4303,4477,4145,3262,1591,874,1631,2074,4973,4721,5327,3511
0.108,1.319,281091,91.57900000000,22.34100000000,5545,4827,4269,3485,3473,1307,1084,1518,1775,4426,4886,6020,3551
0.108,1.318,282091,91.24100000000,22.29300000000,4806,4008,3545,2985,2868,1076,870,1364,1805,4143,4607,5276,3112
0.108,1.317,288092,89.16000000000,22.28200000000,4656,4024,4359,4064,3243,1652,1091,1902,2068,4819,4483,5062,3451
0.108,1.317,283091,90.90300000000,22.24400000000,4649,3942,3524,2982,2758,957,662,1214,1775,4110,4679,5272,3043
0.108,1.316,276090,93.32000000000,22.23500000000,6735,7106,6119,5232,4982,1788,1190,1499,2046,4819,5674,7529,4559
0.108,1.316,289092,88.82400000000,22.22200000000,4551,3972,4338,4056,3304,1817,1211,2014,2147,4789,4426,4961,3465
0.108,1.316,284091,90.56600000000,22.19300000000,5234,4533,4626,4001,3542,1319,985,1400,1589,4679,4961,5746,3551
0.108,1.316,277090,92.98100000000,22.19700000000,6984,6700,5331,4570,4664,1906,1142,1945,2347,5170,5644,7119,4460
0.108,1.315,290092,88.48900000000,22.15900000000,4284,3904,4179,4051,3164,1996,1177,2114,2182,4818,4256,4467,3382
0.108,1.315,278090,92.64200000000,22.15700000000,6779,6225,5147,4399,4265,2098,1288,1887,2145,4822,5279,6595,4244
0.108,1.314,285091,90.22900000000,22.14000000000,5139,4542,4572,3949,3274,1344,906,1495,1634,4664,4927,5804,3520
0.108,1.314,279090,92.30400000000,22.11600000000,6800,6041,5062,4269,4219,1606,1360,1965,2123,5056,5497,6909,4242
0.108,1.314,291092,88.15500000000,22.09500000000,4172,3875,4194,4127,3174,1992,1137,2036,2051,4811,4245,4486,3358
0.108,1.313,286091,89.89300000000,22.08600000000,4779,4318,4403,3945,3173,1313,845,1522,1744,4697,4829,5543,3425
0.108,1.313,280090,91.96600000000,22.07300000000,6451,5625,4742,4012,3927,1606,1140,1644,1959,4904,5348,6731,4007
